# cpptools - Full API & Side Effects Report (AST)
Files analyzed: 161

## vscode API
    155x  vscode.window
      1x  vscode.InlayHintsProvider
      1x  vscode.OnTypeFormattingEditProvider
      1x  vscode.RenameProvider
      1x  vscode.DocumentSemanticTokensProvider
      1x  vscode.WorkspaceSymbolProvider
      1x  vscode.TaskProvider
      1x  vscode.ProcessExecution
      1x  vscode.ShellExecution
      1x  vscode.CustomExecution
      1x  vscode.TaskScope
      1x  vscode.TaskExecution
      1x  vscode.TaskEndEvent
      1x  vscode.LanguageModelTool
      1x  vscode.MessageItem
      1x  vscode.TextDocumentContentProvider

## Node.js Builtins
     67x  path.join
     46x  os.platform
     32x  path.basename
     30x  path.resolve
     28x  child_process.execSync
     19x  path.dirname
     18x  fs.existsSync
     16x  os.EOL
     10x  fs.readFileSync
     10x  os.homedir
      9x  assert.ok
      9x  path.extname
      9x  path.sep
      8x  path.isAbsolute
      8x  os.arch
      8x  assert.fail
      5x  path.parse
      5x  os.release
      5x  fs.readFile
      4x  child_process.exec
      4x  fs/promises.readFile
      4x  child_process.spawn
      4x  fs.statSync
      4x  fs.stat
      3x  child_process.spawnSync
      3x  fs/promises.rm
      3x  util.promisify
      3x  fs.promises.readFile
      3x  fs.watch
      3x  fs.mkdirSync
      3x  fs.promises.readdir
      3x  fs/promises.stat
      3x  assert.strict
      2x  fs/promises.readdir
      2x  os.tmpdir
      2x  path.startsWith
      2x  path.substring
      2x  fs.promises
      2x  path.delimiter
      2x  fs.writeFileSync
      2x  crypto.randomUUID
      2x  timers.setInterval
      2x  path.replace
      2x  path.normalize
      2x  fs.constants.S_IXUSR
      2x  fs.constants.S_IXGRP
      2x  fs.constants.S_IXOTH
      2x  fs.unlink
      2x  fs.constants
      1x  process.env.INIT_CWD
      1x  process.cwd
      1x  process.chdir
      1x  fs/promises.mkdir
      1x  fs/promises.writeFile
      1x  fs/promises.watch
      1x  fs.readdirSync
      1x  fs.lstatSync
      1x  process.env.SCENARIO
      1x  crypto.createHash
      1x  path.charAt
      1x  path.relative
      1x  fs.realpathSync
      1x  path.endsWith
      1x  timers.setTimeout
      1x  fs.constants.W_OK
      1x  fs.promises.writeFile
      1x  crypto.randomBytes
      1x  v8.setFlagsFromString
      1x  fs.promises.stat
      1x  fs.readdir
      1x  fs.writeFile
      1x  fs.rmdir
      1x  fs.constants.F_OK
      1x  fs.access
      1x  fs.constants.X_OK
      1x  fs.chmod
      1x  fs.rename
      1x  child_process.execFileSync

## Process/Environment
     33x  process.env
     21x  process.argv
     20x  process.platform
     15x  process.exit
      6x  process.stdout
      6x  process.stderr
      5x  process.cwd
      4x  process.argv.slice
      4x  process.env.WINDIR
      3x  process.on
      3x  process.argv.includes
      3x  process.env.PATH
      3x  process.removeAllListeners
      2x  process.stdout.write
      2x  process.stderr.write
      2x  process.arch
      2x  process.env.PATH.includes
      2x  process.kill
      2x  process.execPath
      2x  process.hrtime
      2x  process.env.VSCODE_NLS_CONFIG
      2x  process.env.SystemRoot
      2x  process.env.LOCALAPPDATA
      1x  process.stdout.write.bind
      1x  process.stderr.write.bind
      1x  process.stdout.on
      1x  process.stderr.on
      1x  process.name
      1x  process.pid
      1x  process.commandLine
      1x  process.env.WINDIR.toLowerCase
      1x  process.env.WINDIR.replace
      1x  process.env.ALLUSERSPROFILE
      1x  process.env.PROGRAMDATA
      1x  process.stdio
      1x  process.stdin
      1x  process.chdir
      1x  process.env.XDG_CACHE_HOME
      1x  process.env.CODESPACES
      1x  process.env.PATHEXT

## Shell Execution
     28x  child_process.execSync
      4x  child_process.exec
      4x  child_process.spawn
      3x  child_process.spawnSync
      1x  child_process.execFileSync

## Network/HTTP
      1x  axios_1.default.get
      1x  axios_1.default
      1x  axios.get
      1x  globalThis.fetch
      1x  node-fetch.fetch

## Global Side Effects
     16x  globalThis.setTimeout
      2x  globalThis.setImmediate
      2x  globalThis.setInterval

## Activation Events
  (none / uses *)

## Contributes
