# VS Code Extension API & Side Effects Analysis (AST-based)

Analyzed 12 extensions (11 with source code)
Generated: 2026-04-03T09:25:02.165Z

## 1. vscode API Methods & Properties

  ███████████ 11/11  vscode.workspace.getConfiguration                       [auto-rename-tag, code-runner, cpptools, eslint, gitlens, live-server, material-icon-theme, path-intellisense, prettier, python, rest-client]
  ██░░░░░░░░░  2/11  vscode.DiagnosticSeverity.Error                         [python, rest-client]
  ██░░░░░░░░░  2/11  vscode.DiagnosticSeverity.Information                   [python, rest-client]
  █░░░░░░░░░░  1/11  vscode.window.activeTextEditor.document.version         [auto-rename-tag]
  █░░░░░░░░░░  1/11  vscode.window.activeTextEditor.edit                     [auto-rename-tag]
  █░░░░░░░░░░  1/11  vscode.window.activeTextEditor.document.positionAt      [auto-rename-tag]
  █░░░░░░░░░░  1/11  vscode.window.activeTextEditor.document.uri.fsPath      [auto-rename-tag]
  █░░░░░░░░░░  1/11  vscode.SnippetString                                    [auto-rename-tag]
  █░░░░░░░░░░  1/11  vscode.ProgressLocation                                 [cpptools]
  █░░░░░░░░░░  1/11  vscode.debug                                            [cpptools]
  █░░░░░░░░░░  1/11  vscode.CompletionItem                                   [cpptools]
  █░░░░░░░░░░  1/11  vscode.CompletionItemKind.Module                        [cpptools]
  █░░░░░░░░░░  1/11  vscode.CompletionList                                   [cpptools]
  █░░░░░░░░░░  1/11  vscode.DebugAdapterExecutable                           [cpptools]
  █░░░░░░░░░░  1/11  vscode.DebugConfigurationProviderTriggerKind.Dynamic    [cpptools]
  █░░░░░░░░░░  1/11  vscode.DebugConfigurationProviderTriggerKind            [cpptools]
  █░░░░░░░░░░  1/11  vscode.window.registerTreeDataProvider                  [cpptools]
  █░░░░░░░░░░  1/11  vscode.CancellationError                                [cpptools]
  █░░░░░░░░░░  1/11  vscode.MarkdownString                                   [cpptools]
  █░░░░░░░░░░  1/11  vscode.Hover                                            [cpptools]
  █░░░░░░░░░░  1/11  vscode.CallHierarchyItem                                [cpptools]
  █░░░░░░░░░░  1/11  vscode.CallHierarchyIncomingCall                        [cpptools]
  █░░░░░░░░░░  1/11  vscode.CallHierarchyOutgoingCall                        [cpptools]
  █░░░░░░░░░░  1/11  vscode.CodeActionKind.RefactorInline.append             [cpptools]
  █░░░░░░░░░░  1/11  vscode.CodeActionKind.RefactorInline                    [cpptools]
  █░░░░░░░░░░  1/11  vscode.CodeActionKind                                   [cpptools]
  █░░░░░░░░░░  1/11  vscode.CodeActionKind.RefactorExtract.append            [cpptools]
  █░░░░░░░░░░  1/11  vscode.CodeActionKind.RefactorExtract                   [cpptools]
  █░░░░░░░░░░  1/11  vscode.WorkspaceEdit                                    [cpptools]
  █░░░░░░░░░░  1/11  vscode.DocumentSymbol                                   [cpptools]
  █░░░░░░░░░░  1/11  vscode.Location                                         [cpptools]
  █░░░░░░░░░░  1/11  vscode.FoldingRangeKind.Comment                         [cpptools]
  █░░░░░░░░░░  1/11  vscode.FoldingRangeKind                                 [cpptools]
  █░░░░░░░░░░  1/11  vscode.FoldingRangeKind.Imports                         [cpptools]
  █░░░░░░░░░░  1/11  vscode.FoldingRangeKind.Region                          [cpptools]
  █░░░░░░░░░░  1/11  vscode.InlayHint                                        [cpptools]
  █░░░░░░░░░░  1/11  vscode.InlayHintKind.Type                               [cpptools]
  █░░░░░░░░░░  1/11  vscode.InlayHintKind                                    [cpptools]
  █░░░░░░░░░░  1/11  vscode.InlayHintKind.Parameter                          [cpptools]
  █░░░░░░░░░░  1/11  vscode.SemanticTokensBuilder                            [cpptools]
  █░░░░░░░░░░  1/11  vscode.SymbolInformation                                [cpptools]
  █░░░░░░░░░░  1/11  vscode.Diagnostic                                       [cpptools]
  █░░░░░░░░░░  1/11  vscode.DiagnosticRelatedInformation                     [cpptools]
  █░░░░░░░░░░  1/11  vscode.QuickPickItemKind                                [cpptools]
  █░░░░░░░░░░  1/11  vscode.SemanticTokensLegend                             [cpptools]
  █░░░░░░░░░░  1/11  vscode.languages.registerInlayHintsProvider             [cpptools]
  █░░░░░░░░░░  1/11  vscode.languages.registerRenameProvider                 [cpptools]
  █░░░░░░░░░░  1/11  vscode.languages.registerWorkspaceSymbolProvider        [cpptools]
  █░░░░░░░░░░  1/11  vscode.languages.registerCallHierarchyProvider          [cpptools]
  █░░░░░░░░░░  1/11  vscode.languages.registerOnTypeFormattingEditProvider   [cpptools]
  █░░░░░░░░░░  1/11  vscode.languages.registerFoldingRangeProvider           [cpptools]
  █░░░░░░░░░░  1/11  vscode.languages.registerDocumentSemanticTokensProvider [cpptools]
  █░░░░░░░░░░  1/11  vscode.window.visibleTextEditors.forEach                [cpptools]
  █░░░░░░░░░░  1/11  vscode.window.activeTextEditor.selection                [cpptools]
  █░░░░░░░░░░  1/11  vscode.DecorationRangeBehavior                          [cpptools]
  █░░░░░░░░░░  1/11  vscode.EndOfLine                                        [cpptools]
  █░░░░░░░░░░  1/11  vscode.EndOfLine.CRLF                                   [cpptools]
  █░░░░░░░░░░  1/11  vscode.TextEdit                                         [cpptools]
  █░░░░░░░░░░  1/11  vscode.ViewColumn                                       [cpptools]
  █░░░░░░░░░░  1/11  vscode.workspace.workspaceFolders.forEach               [cpptools]
  █░░░░░░░░░░  1/11  vscode.DiagnosticSeverity                               [cpptools]
  █░░░░░░░░░░  1/11  vscode.TaskScope.Workspace                              [cpptools]
  █░░░░░░░░░░  1/11  vscode.TaskGroup.Build                                  [cpptools]
  █░░░░░░░░░░  1/11  vscode.tasks.executeTask                                [cpptools]
  █░░░░░░░░░░  1/11  vscode.tasks.onDidEndTask                               [cpptools]
  █░░░░░░░░░░  1/11  vscode.window.activeTextEditor.document.languageId      [cpptools]
  █░░░░░░░░░░  1/11  vscode.UIKind                                           [cpptools]
  █░░░░░░░░░░  1/11  vscode.extensions.all.some                              [cpptools]
  █░░░░░░░░░░  1/11  vscode.tasks.onDidStartTask                             [cpptools]
  █░░░░░░░░░░  1/11  vscode.TaskScope.Global                                 [cpptools]
  █░░░░░░░░░░  1/11  vscode.TaskScope                                        [cpptools]
  █░░░░░░░░░░  1/11  vscode.lm                                               [cpptools]
  █░░░░░░░░░░  1/11  vscode.languages.getDiagnostics                         [cpptools]
  █░░░░░░░░░░  1/11  vscode.LanguageModelChatMessage                         [cpptools]
  █░░░░░░░░░░  1/11  vscode.LanguageModelError                               [cpptools]
  █░░░░░░░░░░  1/11  vscode.window.activeTextEditor.selection.active         [cpptools]
  █░░░░░░░░░░  1/11  vscode.IndentAction.IndentOutdent                       [cpptools]
  █░░░░░░░░░░  1/11  vscode.IndentAction                                     [cpptools]
  █░░░░░░░░░░  1/11  vscode.LanguageModelToolResult                          [cpptools]
  █░░░░░░░░░░  1/11  vscode.LanguageModelTextPart                            [cpptools]
  █░░░░░░░░░░  1/11  vscode.TreeItem                                         [cpptools]
  █░░░░░░░░░░  1/11  vscode.TreeItemCollapsibleState                         [cpptools]
  █░░░░░░░░░░  1/11  vscode.ThemeIcon                                        [cpptools]
