# gitlens - Full API & Side Effects Report (AST)
Files analyzed: 1101

## vscode API
      1x  vscode.TextDocumentContentProvider
      1x  vscode.McpServerDefinitionProvider
      1x  vscode.McpServerDefinition
      1x  vscode.McpStdioServerDefinition
      1x  vscode.FileSystemProvider
      1x  vscode.FileStat
      1x  vscode.LanguageModelChatSelector
      1x  vscode.AuthenticationProvider
      1x  vscode.TerminalLink
      1x  vscode.TerminalLinkProvider
      1x  vscode.TerminalLinkContext
      1x  vscode.EndOfLine
      1x  vscode.UriHandler
      1x  vscode.TreeDataProvider
      1x  vscode.FileDecorationProvider
      1x  vscode.TabGroupChangeEvent
      1x  vscode.CustomTextEditorProvider
      1x  vscode.WebviewViewResolveContext

## Node.js Builtins
     15x  path.join
     12x  process.env
      7x  os.homedir
      5x  path.dirname
      5x  path.resolve
      4x  fs/promises.stat
      4x  os.tmpdir
      3x  process.platform
      3x  fs.promises.rm
      3x  path.basename
      3x  process.env.NODE_TLS_REJECT_UNAUTHORIZED
      2x  path.isAbsolute
      2x  path.relative
      2x  child_process.spawn
      2x  os.hostname
      2x  fs.promises.mkdir
      2x  fs.promises.stat
      2x  fs.readdir
      2x  fs/promises.readFile
      2x  child_process.exec
      2x  crypto.createHash
      2x  process.env.SYSTEMROOT
      2x  fs/promises.mkdir
      2x  fs/promises.writeFile
      1x  process.env.GIT_AUTHOR_NAME
      1x  process.env.GIT_COMMITTER_NAME
      1x  os.userInfo
      1x  process.env.GIT_AUTHOR_EMAIL
      1x  process.env.GIT_COMMITTER_EMAIL
      1x  process.env.EMAIL
      1x  fs.promises.writeFile
      1x  fs.promises.mkdtemp
      1x  fs.promises.copyFile
      1x  crypto.randomBytes
      1x  crypto.randomUUID
      1x  process.env.PATH
      1x  process.getgid
      1x  process.getuid
      1x  process.execPath
      1x  child_process.execFile
      1x  fs.access
      1x  fs.constants.F_OK
      1x  fs/promises.realpath
      1x  process.env.HTTPS_PROXY
      1x  process.env.HTTP_PROXY
      1x  fs.realpath.native
      1x  fs.realpath
      1x  fs/promises.unlink
      1x  http.createServer
      1x  fs/promises.chmod
      1x  process.env.XDG_DATA_HOME
      1x  process.env.LOCALAPPDATA
      1x  os.networkInterfaces
      1x  process.env.WSL_DISTRO_NAME

## Process/Environment

## Shell Execution
      2x  child_process.spawn
      2x  child_process.exec
      1x  child_process.execFile

## Network/HTTP
     12x  globalThis.fetch

## Global Side Effects
     97x  globalThis.setTimeout
     66x  globalThis.queueMicrotask
      3x  globalThis.setInterval

## Activation Events
  onFileSystem:gitlens
  onStartupFinished
  onTerminalShellIntegration:bash
  onTerminalShellIntegration:cmd
  onTerminalShellIntegration:csh
  onTerminalShellIntegration:fish
  onTerminalShellIntegration:gitbash
  onTerminalShellIntegration:julia
  onTerminalShellIntegration:ksh
  onTerminalShellIntegration:node
  onTerminalShellIntegration:nu
  onTerminalShellIntegration:pwsh
  onTerminalShellIntegration:python
  onTerminalShellIntegration:sh
  onTerminalShellIntegration:wsl
  onTerminalShellIntegration:zsh
  onUri
  onWebviewPanel:gitlens.graph
  onWebviewPanel:gitlens.patchDetails
  onWebviewPanel:gitlens.composer
  onWebviewPanel:gitlens.settings
  onWebviewPanel:gitlens.timeline

## Contributes
  colors: 69 entries
  commands: 1000 entries
  configuration: 44 entries
  configurationDefaults: 1 entries
  customEditors: 1 entries
  icons: 1 entries
  keybindings: 59 entries
  mcpServerDefinitionProviders: 1 entries
  menus: 1 entries
  resourceLabelFormatters: 2 entries
  submenus: 57 entries
  views: 1 entries
  viewsContainers: 1 entries
  viewsWelcome: 61 entries
  walkthroughs: 1 entries
